CountryName,AccessElec,AdolFert,AgriLand,ArableLand,BirthRate,CO2,DeathRate,EmpRatioF,EmpRatioM,EmpRatioT,EmpRatioYF,EmpRatioYF,EmpRatioYF,FertilityRate,GDP,HealthExpend,Imports,Sanitation,Water,Internet,LifeExp,AgeSecEdu,AgePriEdu,FemPriEdu,Pop65+,Pop0-14,Pop15-64,PopFem,PopRural,UnempFem,UnempMal,UnempTot,PopRUrban
Afghanistan,37.45584,153.8456,57.827099224948704,11.768219832736001,48.332,0.2858167449883385,12.149000000000001,11.0,75.3000030517578,43.7000007629395,7.800000190734861,52.2000007629395,30.7000007629395,7.496,10577.927487698826,752.16607944497,45.69517947672486,23.4,30.3,21.36922941642194,55.1258780487805,13.0,7.0,0.0,2.23688631677896,48.5636389106859,49.199474772535105,48.4998076331569,78.718,17.7999992370605,6.699999809265139,8.300000190734862,21.281999999999996
Albania,100.0,19.273,41.7518248175182,21.0948905109489,18.938,0.189381050298955,5.727,44.0999984741211,63.9000015258789,53.7999992370605,36.7000007629395,44.0999984741211,40.2999992370605,2.383,1985.9001057791504,69.84439276,38.05334470589421,83.4,96.1,0.114097346552109,74.2720731707317,10.0,6.0,48.2695388793945,7.07448674152336,30.2633117283506,62.662201530126,49.46692227491339,58.25899999999999,14.3000001907349,12.8999996185303,13.5,41.74100000000001
Algeria,98.0,11.7556,16.803261481102098,3.2169758243972897,19.57,0.27910483169363,5.115,5.3000001907348615,55.7999992370605,30.7000007629395,2.79999995231628,31.7000007629395,17.5,2.5140000000000002,2530.01173023828,60.26739268,21.3542387166301,83.6,89.5,0.491705679141589,70.18390243902441,12.0,6.0,46.75741958618161,4.33505588087197,34.272377538260606,61.3925665808675,49.3223341533569,40.080999999999996,55.7999992370605,25.7000007629395,29.7999992370605,59.919
American Samoa,52.530269999999994,57.09090119445583,24.0,12.5,22.9136541402888,0.2858167449883385,8.623748112097264,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,3.053916149871504,10577.927487698826,752.16607944497,45.69517947672486,61.5,97.8,21.36922941642194,68.61378596415548,11.816831683168317,6.0,47.66378604330437,7.334371965346783,30.57425766939913,62.09149951109416,50.06827462251143,11.413,10.472767731686966,8.113934633662318,8.850219375833598,88.587
Andorra,100.0,57.09090119445583,40.0,4.8936170212766,11.3,0.2858167449883385,8.623748112097264,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,3.053916149871504,33700.762128571,1318.12783804,45.69517947672486,100.0,100.0,10.538835609220001,68.61378596415548,12.0,6.0,47.66378604330437,7.334371965346783,30.57425766939913,62.09149951109416,50.06827462251143,7.605,10.472767731686966,8.113934633662318,8.850219375833598,92.395
Angola,31.05585,210.6736,45.96133793214089,2.40635277131627,51.00899999999999,0.2858167449883385,19.432000000000002,62.5,70.5,66.40000152587889,47.0999984741211,49.2999992370605,48.2000007629395,6.905,10577.927487698826,22.23033354,62.827757698865796,32.1,45.7,0.105045562462262,45.204780487804896,10.0,6.0,47.66378604330437,2.41068946607256,47.820852058466386,49.7684584754611,50.67671458733521,67.581,7.400000095367429,6.5,6.900000095367429,32.419000000000004
Antigua and Barbuda,85.4112,65.1598,20.4545454545455,9.09090909090909,20.24,0.22978949751046804,6.817,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,2.316,10897.778166629001,419.50881721,63.592432335070114,84.6,97.7,6.482225737029071,73.3972926829268,12.0,5.0,47.66378604330437,7.07938388625592,29.2190397692149,63.7015763445292,53.1076138471049,67.873,10.472767731686966,8.113934633662318,8.850219375833598,32.126999999999995
Arab World,79.53695026971229,53.829471516464395,39.6021553417712,4.114427094928209,28.2828370617409,0.327166506190412,6.4658414653185705,16.2635818317765,66.51415406356439,41.8447848765764,11.5349253611886,38.376337366657296,25.2008288499378,3.79774266423296,3299.8407711237,108.030193873265,27.8167196612076,72.2186019505681,82.5534115144905,1.13954112251628,67.82694852075521,11.816831683168317,6.131707317073171,45.590660095214794,4.06637170489976,38.1846589641388,57.7489693309614,48.95270549441871,46.92000488657471,22.197392063296103,11.1471913603008,13.494384585941699,53.07999511342529
Argentina,92.34713,66.8976,46.9581867146078,10.0997920845985,19.413,0.256973874418544,7.796,35.2000007629395,64.099998474121,49.2000007629395,23.2999992370605,41.5,32.5,2.5610000000000004,5398.71782879572,709.86235505,11.636106138641699,91.4,96.3,7.038683086217801,73.7558048780488,12.0,6.0,48.77978134155271,9.91159052404385,27.984826695995498,62.10358277996061,51.0724010093192,10.857999999999999,17.1000003814697,13.6999998092651,15.0,89.14200000000001
Armenia,98.0,40.229,46.4699683877766,15.806111696522699,13.203,0.3859884145436479,8.475,46.0999984741211,60.0,52.4000015258789,28.2999992370605,43.0999984741211,35.5,1.6880000000000002,895.6037011014639,38.82927307,50.54328923884629,89.3,92.6,1.30047002237784,71.2765853658537,10.0,7.0,49.046070098877,9.99441500238289,25.860521998974,64.1450629986431,53.0090393739081,35.334,20.1000003814697,17.7999992370605,18.8999996185303,64.666
Aruba,85.4112,43.593,11.1111111111111,11.1111111111111,14.187000000000001,0.2858167449883385,6.97,46.59770719307143,69.16351900810419,57.96964482010611,40.327295255137045,40.327295255137045,40.327295255137045,1.874,23902.9208916523,752.16607944497,70.68686856638479,98.2,94.2,15.4428229480349,73.72060975609759,12.0,6.0,48.601959228515604,7.57885931893724,23.1790266129565,69.2421140681063,51.742279160888394,53.283,10.472767731686966,8.113934633662318,8.850219375833598,46.717
Australia,100.0,17.9326,59.2921390729339,6.15753094776304,13.0,0.488090996482904,6.7,51.4000015258789,67.6999969482422,59.4000015258789,61.0999984741211,63.0999984741211,62.0999984741211,1.756,30853.8876106129,1713.58969132,21.4684408712814,100.0,100.0,46.75611561167379,79.2341463414634,12.0,5.0,48.633670806884794,12.3539487705479,20.8408943808819,66.8051568485702,50.117492045297396,12.835,6.099999904632571,6.5,6.300000190734861,87.165
Austria,100.0,13.9232,40.8452409784451,16.7352869944296,9.8,0.200978022194403,9.6,46.5,66.5,56.0,47.9000015258789,57.4000015258789,52.7000007629395,1.36,36064.9623414503,2406.13155213,42.0440765995179,100.0,100.0,33.7301329516915,78.12682926829271,10.0,6.0,48.4466400146484,15.3220814012474,16.8418896608124,67.83602893794021,51.46990069661921,34.2,3.79999995231628,3.29999995231628,3.5,65.8
Azerbaijan,95.95585,37.1604,57.3863567580655,22.1003571212396,14.5,0.822218507538059,5.8,49.9000015258789,63.7999992370605,56.5,33.5,34.2999992370605,33.9000015258789,2.0,874.096082908875,30.29752578,38.378094995867,65.6,74.1,0.147757575623251,66.758243902439,10.0,6.0,48.8907890319824,5.5966671520233,31.0732097669524,63.3301230810242,51.1379765456946,48.614,12.8999996185303,10.8000001907349,11.8000001907349,51.386
