CountryName,AccessElec,AgriLand,ArableLand,BirthRate,DeathRate,FertilityRate,FixedTelephone,ForestArea,GDP,GDPGrowth,GDPperCapita,HealthExpPerCapita,HealthExpPrivate,HealthExpPublic,HealthExpTotal,ImmunizationDPT,ImmunizationMeasles,MigrantStock,InternetUsers,LifeExp,MobileCellular,PollutionExposure,PopuDensity,PopGrowth,RuralPop,RuralPopGrowth,UrbanPop,UrbanPopGrowth
Albania,100.0,41.7518248175182,21.0948905109489,18.938,5.727,2.383,4.61995166035895,28.076642335766397,523043379072.985,6.666620514666151,1985.9001057791504,69.84439276,3.99756644183973,2.2584179581602704,6.255984400000001,97.0,95.0,2.48282064222812,0.114097346552109,74.2720731707317,0.901406013044683,100.0,112.738211678832,-0.6373568339434921,58.25899999999999,-1.61439403235174,41.74100000000001,0.7424786292851769
Armenia,98.0,46.4699683877766,15.806111696522699,13.203,8.475,1.6880000000000002,17.3397271478347,11.6965226554268,1031338300000.0,5.899999999999781,895.6037011014639,38.82927307,5.11595148072859,1.1375319992714,6.25348348,93.0,92.0,18.6676432285317,1.30047002237784,71.2765853658537,0.5684474291781341,100.0,108.046996838778,-0.5744662647759641,35.334,0.223912481267754,64.666,-1.00802822678965
Austria,100.0,40.8452409784451,16.7352869944296,9.8,9.6,1.36,49.83627716900021,46.4761443448777,213196120000.0,3.36840771488365,36064.9623414503,2406.13155213,2.44227097896974,7.58208965916788,10.02436017,81.0,75.0,12.4388540267908,33.7301329516915,78.12682926829271,76.2693288573366,97.64609952131308,97.01581496730441,0.240466652446524,34.2,0.24047524885313,65.8,0.24046218440461606
Azerbaijan,95.95585,57.3863567580655,22.1003571212396,14.5,5.8,2.0,9.869739639421901,10.553840566551699,4718100000.0,11.099999253540599,874.096082908875,30.29752578,3.80392025894861,0.866892751051386,4.67081301,76.0,67.0,4.3180180404045405,0.147757575623251,66.758243902439,5.17878001050046,100.0,97.434779976999,0.8215199636742109,48.614,0.408911483054132,51.386,1.21344378120309
Belarus,100.0,45.61230526523371,30.2356537172155,9.4,13.5,1.31,27.570165086069608,40.78584105699071,9133800000000.0,5.80000000000005,2103.0586136759107,74.74479373,1.5023938514783002,4.6264545985217,6.12884845,99.0,98.0,11.2302448775612,1.86039812615388,68.9121951219512,0.494446704189567,99.97343267491779,49.324590810490996,-0.29940142126047803,30.026999999999997,-1.92137293208866,69.973,0.404771989182546
Belgium,100.0,45.904887714663104,28.467635402906197,11.4,10.2,1.67,49.0478731796057,22.0376486129458,258222000000.0,3.63381720812023,34539.2409436052,1845.3381169,2.0622230660478,6.0583742139522005,8.12059728,95.0,82.0,8.5747396658944,29.4316916924341,77.7219512195122,54.8187737500949,100.0,338.548546895641,0.242517956221334,2.872,-1.92719580175841,97.12799999999999,0.307396852284558
Bosnia and Herzegovina,98.5,41.6015625,19.53125,10.168,8.154,1.413,20.3423566463695,42.67578125,11689205000.0,5.50000043583101,2257.05060352278,103.40604907,3.0896062766257404,4.04954742337426,7.1391537,85.0,80.0,2.53108589308699,1.08296074971207,74.26073170731709,2.4355016894588,100.0,74.0796484375,0.22406505014526,60.693999999999996,0.258669335388906,39.306,0.17065469199068806
Bulgaria,100.0,50.45647654343311,31.8720057850493,9.0,14.1,1.26,36.0200287231689,30.507095724486998,27917359000.0,5.010949365897769,2750.58679171602,97.44098955,2.41617303118719,3.76828827881281,6.18446131,93.0,89.0,1.23620408480996,5.370923469086961,71.66341463414629,9.22441194373859,100.0,73.8513242339329,-0.493896416633318,31.101,-1.20518144321916,68.899,-0.17115765064292598
Croatia,100.0,20.908603112144498,15.059917724915,9.8,11.2,1.39,38.4594792502057,33.714898944732596,180240906500.0,3.76749617151033,8236.42716451693,371.12275878,1.07508665561357,6.68097180438643,7.75605846,93.0,93.0,13.915408947130599,6.64488254374396,72.8078048780488,23.082762092697106,100.0,79.16294043999291,-2.85097260126899,44.413000000000004,-3.1634706807730297,55.586999999999996,-2.6005886887961496
Cyprus,100.0,15.313852813852801,10.649350649350598,13.244000000000002,6.837000000000001,1.714,46.6550477214252,18.5725108225108,10535340000.0,5.67338023087713,22096.3108686833,753.35384428,3.36595597630538,2.4028302336946203,5.76878621,97.0,86.0,8.48903886091932,15.255394371013699,77.9716829268293,23.1450237308476,100.0,102.08733766233802,1.90461766621283,31.351999999999997,1.5192304723964798,68.648,2.08112154601886
